,t0,S0,K,K_rel,sigma_t0,T_years,geom_model,arit_model,geom_empirical,arit_empirical
0,2019-02-01,243.59176635742188,194.8734130859375,0.8,0.18179575442977017,0.011904761904761904,48.74949825756457,48.75838652691693,50.98167522468855,50.98204976713855
1,2019-02-01,243.59176635742188,219.2325897216797,0.9,0.18179575442977017,0.011904761904761904,24.403367685940907,24.387641435043893,26.635544653064898,26.6359191955149
2,2019-02-01,243.59176635742188,243.59176635742188,1.0,0.18179575442977017,0.011904761904761904,1.1412815180680411,1.088877532450358,2.289414081441248,2.289788623891249
3,2019-02-01,243.59176635742188,267.95094299316406,1.1,0.18179575442977017,0.011904761904761904,1.7540619246382808e-17,0.0,0.0,0.0
4,2019-02-01,243.59176635742188,292.31011962890625,1.2,0.18179575442977017,0.011904761904761904,6.04947789811276e-58,0.0,0.0,0.0
5,2019-02-04,245.30551147460938,196.24440917968752,0.8,0.15125165046047387,0.01984126984126984,49.11748080243419,49.142786062667355,48.522704561995305,48.52527328976495
6,2019-02-04,245.30551147460938,220.77496032714845,0.9,0.15125165046047387,0.01984126984126984,24.6088221578903,24.6205214526748,24.01404591745143,24.01661464522107
7,2019-02-04,245.30551147460938,245.30551147460938,1.0,0.15125165046047387,0.01984126984126984,1.2536739288446057,1.2033553926789222,0.0,0.0
8,2019-02-04,245.30551147460938,269.83606262207036,1.1,0.15125165046047387,0.01984126984126984,2.3979936054410224e-15,0.0,0.0,0.0
9,2019-02-04,245.30551147460938,294.3666137695312,1.2,0.15125165046047387,0.01984126984126984,1.9085250630659725e-50,0.0,0.0,0.0
10,2019-02-05,246.3337860107422,197.06702880859376,0.8,0.11242128342478826,0.015873015873015872,49.31539184377283,49.32967988971676,47.33025065405762,47.33198899042068
11,2019-02-05,246.3337860107422,221.70040740966797,0.9,0.11242128342478826,0.015873015873015872,24.699602230598714,24.697369655448316,22.71446104088352,22.716199377246582
12,2019-02-05,246.3337860107422,246.3337860107422,1.0,0.11242128342478826,0.015873015873015872,0.8457845947629181,0.8095886278495809,0.0,0.0
13,2019-02-05,246.3337860107422,270.96716461181643,1.1,0.11242128342478826,0.015873015873015872,3.1488722456341674e-32,0.0,0.0,0.0
14,2019-02-05,246.3337860107422,295.6005432128906,1.2,0.11242128342478826,0.015873015873015872,5.087958847359272e-111,0.0,0.0,0.0
15,2019-02-06,246.00904846191406,196.80723876953127,0.8,0.11269827429157797,0.011904761904761904,49.23822856059809,49.21697001778383,47.07490382356719,47.07497083914991
16,2019-02-06,246.00904846191406,221.40814361572265,0.9,0.11269827429157797,0.011904761904761904,24.650499241100277,24.656346259711263,22.48717450406937,22.48724151965209
17,2019-02-06,246.00904846191406,246.00904846191406,1.0,0.11269827429157797,0.011904761904761904,0.7283012317237052,0.6952032358992386,0.0,0.0
18,2019-02-06,246.00904846191406,270.6099533081055,1.1,0.11269827429157797,0.011904761904761904,4.723675041103103e-42,0.0,0.0,0.0
19,2019-02-06,246.00904846191406,295.2108581542969,1.2,0.11269827429157797,0.011904761904761904,1.7605202512008648e-146,0.0,0.0,0.0
20,2019-02-07,243.66390991210938,194.9311279296875,0.8,0.1188406904696108,0.011904761904761904,48.768509985337914,48.785131506462974,50.13541566458158,50.14006727489951
21,2019-02-07,243.66390991210938,219.29751892089845,0.9,0.1188406904696108,0.011904761904761904,24.415168922043733,24.45604673722321,25.782074601287416,25.786726211605348
22,2019-02-07,243.66390991210938,243.66390991210938,1.0,0.1188406904696108,0.011904761904761904,0.7587560702489924,0.7391873539295407,1.4287335379932815,1.4333851483112114
