,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,240.0,12.49,12.945059642993385,12.6262840552304,12.638303674769201,3.643391857433027
1,242.5,10.85,10.655290362534828,10.150311273025011,10.185995880567248,-1.7945588706467446
2,245.0,8.5,8.511088592383999,7.734548735166868,7.773712447141028,0.13045402804704387
3,247.5,6.35,6.566967470188558,5.473128169851293,5.490865854096884,3.4168105541505303
4,250.0,4.75,4.872709008510014,3.511191030640987,3.5275724047049337,2.583347547579251
5,252.5,3.17,3.4627364879563345,1.9925696352902946,1.9993456423404996,9.234589525436421
6,255.0,2.12,2.3482434126328258,0.9782951432986096,0.9724579315674461,10.76619870909555
7,257.5,1.32,1.5150291607980222,0.4081470899765023,0.41528683984144454,14.774936424092584
8,260.0,0.77,0.9276626963331722,0.1427913173137796,0.14347537010027706,20.47567484846392
9,262.5,0.42,0.5380660437614537,0.041519487703990166,0.04140166068862661,28.11096280034613
10,265.0,0.24,0.29523621660116106,0.009980003299046247,0.010755463414190676,23.01509025048378
