,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,505.0,12.45,11.199588918678273,10.287102653800446,10.29168264805533,-10.043462500576112
1,507.5,10.58,9.16771347475941,7.9523966845807195,7.988279555260972,-13.348643905865694
2,510.0,8.8,7.319408542601707,5.801664788577966,5.816827114544352,-16.82490292498061
3,512.5,7.15,5.685040133731263,3.9393679541111624,3.92296979303745,-20.488949178583734
4,515.0,5.72,4.285271306845914,2.4552062570150497,2.45568754895628,-25.08266946073577
5,517.5,4.44,3.12777622169574,1.386597978805014,1.3870557104016812,-29.554589601447304
6,520.0,3.3,2.2061074475806777,0.701728792387442,0.7041293052728531,-33.148259164221884
7,522.5,2.51,1.5009838711617647,0.31532886355940803,0.3155644784780272,-40.19984577044762
8,525.0,1.78,0.9835898205405158,0.12491280642797875,0.12494962810809855,-44.74214491345417
9,527.5,1.22,0.6199742488673863,0.04338475132580655,0.04513475027300584,-49.18243861742736
10,530.0,0.82,0.3754781425239244,0.01315945529363649,0.012930418533596336,-54.2099826190336
