,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,315.0,13.25,12.978146669711293,12.83397538645977,12.847551783195868,-2.0517232474619376
1,317.5,15.8,10.521654110921418,10.33622789425766,10.342454997710973,-33.40725246252268
2,320.0,10.9,8.143081500057349,7.844307390901918,7.857838803107963,-25.292830274703224
3,322.5,6.1,5.928776374744643,5.399507785758772,5.416236054038229,-2.8069446763173165
4,325.0,5.0,3.9948754695677167,3.164547684344427,3.160025049473965,-20.102490608645667
5,327.5,3.05,2.4503246660512445,1.4524629160278266,1.4545681944521083,-19.661486358975583
6,330.0,2.03,1.3474932897742065,0.47954105762816823,0.4847759750694019,-33.62102020816717
7,332.5,0.7,0.6558776155725781,0.10634381678616123,0.10641030781505167,-6.303197775345985
8,335.0,0.31,0.27970367753179204,0.015119550806955928,0.01546339252876877,-9.77300724780902
9,337.5,0.15,0.10372356059408538,0.0013402484660730574,0.001623956755403375,-30.85095960394307
10,340.0,0.03,0.0332719904368437,7.298758352721618e-05,6.348031933136285e-05,10.906634789479009
