,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,662.0,5.64,5.029511456571527,3.798696151415129,3.7817992501475373,-10.824264954405551
1,663.0,5.03,4.392780956771276,3.078590803803195,3.0760952800246724,-12.66837064073011
2,664.0,4.32,3.805029584318163,2.4373236467899346,2.4337892614620404,-11.920611474116605
3,665.0,3.65,3.26759329328371,1.881325889609741,1.8858836477316272,-10.476896074418903
4,666.0,3.22,2.781006246521372,1.4131625893660384,1.4120701407661282,-13.633346381323861
5,667.0,2.63,2.3449785884196217,1.031187063605671,1.0426857300900199,-10.837316029672175
6,668.0,2.17,1.9584140770611214,0.7297918188891117,0.7262229975664944,-9.750503361238644
