,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,662.0,7.17,5.978542999190495,4.285360884967815,4.3011052954849776,-16.617252452015414
1,663.0,6.62,5.366879222214834,3.6070676294273767,3.607598103905498,-18.929316884972298
2,664.0,6.14,4.793675628854658,2.992432234817045,2.9968698704895647,-21.927107021911112
3,665.0,5.36,4.259586453323095,2.4446220233167537,2.4491064029790293,-20.53010348277808
4,666.0,4.83,3.7648882558190735,1.964931817079048,1.9643440592449513,-22.05200298511235
5,667.0,4.35,3.309473558617526,1.5526808186578762,1.548378382540368,-23.920148077758014
6,668.0,3.75,2.8928556835122095,1.2052798350302112,1.211785179127773,-22.85718177300775
