,Strike,Market,European (B-S),Analytic geometric Asian,MC arithmetic Asian,BS Error %
0,662.0,4.5,4.459938116686146,3.523534247589282,3.515212168252696,-0.8902640736411942
1,663.0,3.9,3.797876561374437,2.7639857355886193,2.7719100285301406,-2.618549708347762
2,664.0,3.2,3.194769657652273,2.0961146328933182,2.0982140517640784,-0.16344819836647262
3,665.0,2.69,2.6529886381155166,1.5311423024263036,1.5409130954608263,-1.3758870589027286
4,666.0,2.05,2.1734567791535255,1.0735471064707554,1.0714137243669015,6.0222819099280835
5,667.0,1.63,1.7555893368048032,0.720161181259698,0.7248712351856812,7.704867288638241
6,668.0,1.24,1.3973422345485744,0.4608627862878052,0.4663763136154145,12.688889882949551
